strategy_id,parameter_hash,theoretical_category,key_parameters,training_result_summary,holdout_result,promoted,date,plain_English_description
asia_mid_bias_raid,6336fbdb61271ba4,range,"{""bias"": ""asia_mid_at_kz_open"", ""signal_type"": ""asia_mid_bias_raid_reclaim""}",best_diff_pp=-0.96 at 2.0R n=13581,,False,2026-08-16,"Why it might beat a coin: before London opens, the Asia mid marks overnight equilibrium. Price above that mid is premium (sellers have the better side); price below is discount (buyers). Raids that fade with that context are trading into value, not randomly. Mechanics: at London or NY killzone open, compare price to the prior Asia mid. Only take first-of-session raid-and-reclaims aligned with that bias (premium → short after high raid; discount → long after low raid); reclaim within 3 bars; stop beyond sweep extreme."
failed_raid_next_session_fade,21c9430a717cb2d6,pattern,"{""fail_win"": 20, ""signal_type"": ""failed_raid_next_kz_fade""}",best_diff_pp=-2.12 at 1.0R n=896,,False,2026-08-16,"Why it might beat a coin: inverted HT — a raid that never reclaims within 20 bars took real liquidity and held. The next killzone’s first close back through that failed edge is the delayed mean-reversion when trapped breakout traders finally unwind, not another manipulative wick. Orthogonal to setups that require an immediate MSS. Mechanics: session-range raid with no reclaim inside the fail window; in the next London/NY killzone, enter on the first close back through the failed edge; stop beyond the original sweep extreme; target 2R."
high_vol_grab_reclaim,7d5246305e7d1486,volume,"{""signal_type"": ""high_vol_grab_reclaim"", ""vol_lookback"": 50, ""vol_rule"": "">=p50""}",best_diff_pp=-0.88 at 2.0R n=20321,,False,2026-08-16,"Why it might beat a coin: absorption — a stop-run that prints with above-median volume is more likely institutions buying (or selling) into the raid, filling aggressive flow and defending the level. That is why price can reclaim and reverse: the other side got absorbed, not vacuumed. This axis uses real exchange volume, not OHLC geometry alone. Mechanics: session-range edge raid whose grab-bar volume ≥ 50th percentile (median) of the prior 50 bars; enter on reclaim within 3 bars; stop beyond sweep extreme; target far edge or 2R."
kz_first_30m_raid_reclaim,30210bbb9a302c62,timing,"{""reclaim_win"": 3, ""signal_type"": ""first_30m_raid_reclaim"", ""window"": ""first_30m""}",best_diff_pp=+0.02 at 2.5R n=5170,,False,2026-08-16,"Why it might beat a coin: the opening half-hour of London or NY is where inventory is thinnest and stops sit closest to overnight levels — the highest-manipulation window. If judas swings exist, they should concentrate here, not merely as ‘first raid sometime in the session.’ Mechanics: same first-raid-and-reclaim as kz_first_raid_reclaim, but only when the raid bar falls in London 07:00–07:30 or NY 12:30–13:00 Europe/London; enter on reclaim within 3 bars; stop beyond sweep extreme."
kz_first_raid_reclaim,831693e56be352f5,timing,"{""reclaim_win"": 3, ""signal_type"": ""first_kz_raid_reclaim""}",best_diff_pp=-0.77 at 2.5R n=20382,,False,2026-08-16,"Why it might beat a coin: ICT’s judas-swing claim — the first raid of a killzone is the real stop-run that clears resting liquidity; later raids are often continuation or noise. A reclaim after that first raid traps the traders who chased the sweep, so the move back through the edge has a defined pool of losers funding the reversal. Mechanics: in London or NY, take only the first session-range-edge raid of that killzone instance; enter on close back inside within 3 bars; stop beyond the sweep extreme; target the far session edge (or 2R)."
london_ny_same_direction,21191c13f2d53ebb,pattern,"{""same_utc_day"": true, ""sessions"": ""London->NY"", ""signal_type"": ""london_then_ny_same_dir""}",best_diff_pp=-0.42 at 2.0R n=2215,,False,2026-08-16,"Why it might beat a coin: two-session institutional commitment — if London already raided and reclaimed one side, a same-direction NY raid later that UTC day is confirmation of the day’s draw, not a fresh coin flip. London sets the narrative; NY funds it. Mechanics: completed London raid+reclaim, then a later NY raid+reclaim in the same direction on the same UTC calendar day; enter on the NY reclaim; stop beyond the NY sweep extreme; target far session edge or 2R."
low_vol_grab_reclaim,d32f9af18b53a1bd,volume,"{""signal_type"": ""low_vol_grab_reclaim"", ""vol_lookback"": 50, ""vol_rule"": ""<=p50""}",best_diff_pp=+1.83 at 3.0R n=1614,,False,2026-08-16,"Why it might beat a coin: vacuum / thin-air sweep — a raid on quiet volume means little opposition at the level, so the break is fragile and snaps back once the wick is done. Rival to high_vol_grab_reclaim: same geometry, symmetric volume split at the median — the data adjudicates absorption vs vacuum. Mechanics: session-range edge raid with grab-bar volume ≤ 50th percentile (median) of the prior 50 bars; enter on reclaim within 3 bars; stop beyond sweep extreme; target far edge or 2R."
smt_fade_sweeper_btc_eth,bc42263da0e17356,cross-asset,"{""enter"": ""BTC"", ""lookback"": 20, ""pair"": ""BTC/ETH"", ""signal_type"": ""smt_fade_sweeper""}",best_diff_pp=-1.17 at 2.0R n=4462,,False,2026-08-16,"Why it might beat a coin: SMT divergence — when BTC sweeps a swing extreme and ETH refuses to confirm, the sweeper is the weaker name. Fading BTC on the reclaim trades that relative weakness: the stop-run failed to drag the correlated twin, so BTC’s sweep is more likely exhaustion than leadership. Mechanics: only on BTC with ETH in aux_bars; when BTC prints a new 20-bar high/low and ETH does not confirm, enter BTC on reclaim of that level within 3 bars; stop beyond the sweep; target 2R. BTC/ETH kept for train (fade BTC) and later holdout confirmation on ETH."
smt_trade_holder_btc_sol,203c1e2d61942d59,cross-asset,"{""enter"": ""SOL"", ""lookback"": 20, ""pair"": ""BTC/SOL"", ""signal_type"": ""smt_trade_holder""}",best_diff_pp=+1.51 at 2.0R n=3763,pre_registered_6h_time_exit mean_fwd_R=+0.087 median=+0.059 n=1147 pct_pos=50.9% bar=+0.10 FAIL (specs/pre_registered/smt_6h_exit.md),False,2026-08-16,"Why it might beat a coin: trade strength, not the raid — when BTC sweeps a swing and SOL refuses to confirm, SOL is the relative leader. Entering SOL in the divergent direction follows the name that held liquidity, rather than fading the weaker sweeper. Same SMT observation as the fade-sweeper rival; opposite execution. Pair is BTC/SOL (both train symbols) so the hypothesis is evaluable without touching holdout ETH; BTC/ETH reserved for later confirmation if this clears. Mechanics: only on SOL with BTC in aux_bars; when BTC prints a new 20-bar high/low and SOL does not confirm, enter SOL in the bounce direction at the divergence bar (or next confirming close); stop beyond SOL’s held extreme; target 2R."
tight_asia_spring,1adc2be8914178f7,range,"{""asia_width"": ""<=p40_of_20"", ""signal_type"": ""tight_asia_raid_reclaim""}",best_diff_pp=-0.21 at 2.0R n=3261,,False,2026-08-16,"Why it might beat a coin: Wyckoff coiled-spring — a tight overnight Asia range is a defined box of resting inventory. When London or NY raids that Asia edge and reclaims, the move is a spring out of compression, not a random wick in an already-expanded range. Tight ranges give the spring something real to reverse into. Mechanics: require prior completed Asia width ≤ 40th percentile of the last 20 Asia widths; take a session-range raid that tags the Asia high/low and reclaims within 3 bars; stop beyond the raid; target the far Asia edge (or 2R)."
kz_first_raid_reclaim,831693e56be352f5,timing,"{""reclaim_win"": 3, ""signal_type"": ""first_kz_raid_reclaim""}",best_diff_pp=-0.77 at 2.5R n=20382,,False,2026-08-16,"Why it might beat a coin: ICT’s judas-swing claim — the first raid of a killzone is the real stop-run that clears resting liquidity; later raids are often continuation or noise. A reclaim after that first raid traps the traders who chased the sweep, so the move back through the edge has a defined pool of losers funding the reversal. Mechanics: in London or NY, take only the first session-range-edge raid of that killzone instance; enter on close back inside within 3 bars; stop beyond the sweep extreme; target the far session edge (or 2R)."
